Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
M1;Olfactory Bulb;Whole;16;6031250;59.10%
M1;Rest of Brain;Whole;135;9031250;27.40%
M2;Cerebellum;Whole;59;43175000;86.69%
M2;Cortex (Anterior);Left;15;1601562;40.58%
M2;Cortex (Anterior);Right;17;1331250;46.31%
M2;Cortex (Anterior);Whole;32;2932812;43.18%
M2;Cortex (Posterior);Left;74;5390625;43.03%
M2;Cortex (Posterior);Right;71;3156250;40.27%
M2;Cortex (Posterior);Whole;145;8546875;42.01%
M2;Hippocampus;Left;16;1726562;30.37%
M2;Hippocampus;Right;18;1956250;36.33%
M2;Olfactory Bulb;Whole;14;3226562;69.25%
M2;Rest of Brain;Whole;0.13;15300000;23.90%
O0;Cerebellum;Whole;43;30600000;90.20%
O0;Cortex (Anterior);Left;8;796875;40.95%
O0;Cortex (Anterior);Right;4;1429687;39.80%
O0;Cortex (Anterior);Whole;12;2226562;40.22%
O0;Cortex (Posterior);Left;58;6684375;51.16%
O0;Cortex (Posterior);Right;72;6196875;51.97%
O0;Cortex (Posterior);Whole;0.13;12881250;51.55%
O0;Hippocampus;Left;9;1718750;38.60%
O0;Hippocampus;Right;11;1712500;24.80%
O0;Olfactory Bulb;Whole;9;5684437;72.76%
O0;Rest of Brain;Whole;123;15112500;35.80%
O1;Cerebellum;Whole;56;33350000;89.24%
O1;Cortex (Anterior);Left;13;1309375;37.74%
O1;Cortex (Anterior);Right;0.01;1081250;32.61%
O1;Cortex (Anterior);Whole;23;2390625;35.42%
O1;Cortex (Posterior);Left;52;5690625;45.15%
O1;Cortex (Posterior);Right;59;5312500;38.73%
O1;Cortex (Posterior);Whole;111;11003125;42.05%
O1;Hippocampus;Left;0.02;2406250;33.59%
O1;Hippocampus;Right;15;2918750;43.92%
O1;Rest of Brain;Whole;0.11;12000000;35.04%
P0;Cerebellum;Whole;57;46468750;86.71%
P0;Cortex (Anterior);Left;8;1350000;48.13%
P0;Cortex (Anterior);Right;13;1875000;45.10%
P0;Cortex (Anterior);Whole;21;3225000;46.37%
P0;Cortex (Posterior);Left;73;6398438;34.18%
P0;Cortex (Posterior);Right;83;5203125;41.18%
P0;Cortex (Posterior);Whole;156;11601563;37.32%
P0;Hippocampus;Left;11;1337500;33.78%
P0;Olfactory Bulb;Whole;8;1687500;51.87%
P0;Rest of Brain;Whole;139;9543750;28.41%
P1;Cerebellum;Whole;56;58937500;86.60%
P1;Cortex (Anterior);Left;7;1118750;44.04%
P1;Cortex (Anterior);Right;9;1468750;38.92%
P1;Cortex (Anterior);Whole;16;2587500;41.13%
P1;Cortex (Posterior);Left;83;5781250;37.50%
P1;Cortex (Posterior);Right;85;5429688;39.96%
P1;Cortex (Posterior);Whole;168;11210938;38.69%
P1;Hippocampus;Left;0.01;2273438;32.43%
P1;Hippocampus;Right;15;1400000;35.03%
P1;Hippocampus;Whole;25;3673438;33.42%
P1;Olfactory Bulb;Whole;5;4581250;51.58%
P1;Rest of Brain;Whole;153;10312500;21.60%
P2;Cerebellum;Whole;56;55000000;90.30%
P2;Cortex (Anterior);Left;0.01;1337500;37.21%
P2;Cortex (Anterior);Right;7;1231250;46.41%
P2;Cortex (Anterior);Whole;17;2568750;41.62%
P2;Cortex (Posterior);Left;0.07;4898438;32.00%
P2;Cortex (Posterior);Right;72;4625000;32.14%
P2;Cortex (Posterior);Whole;142;9523438;32.07%
P2;Hippocampus;Left;12;1225000;38.60%
P2;Hippocampus;Right;16;1850000;42.02%
P2;Hippocampus;Whole;28;3075000;40.65%
P2;Olfactory Bulb;Whole;11;4187500;59.51%
P2;Rest of Brain;Whole;126;10181250;24.66%
P3;Cerebellum;Whole;0.06;49156250;90.07%
P3;Cortex (Anterior);Left;12;1731250;37.97%
P3;Cortex (Anterior);Right;12;1131250;35.01%
P3;Cortex (Anterior);Whole;24;2862500;36.80%
P3;Cortex (Posterior);Left;67;6203125;39.53%
P3;Cortex (Posterior);Right;63;3671875;39.64%
P3;Cortex (Posterior);Whole;0.13;9875000;39.57%
P3;Hippocampus;Left;16;1959375;39.37%
P3;Hippocampus;Right;12;1992188;52.42%
